731 3
159 336 688 
895 545 174 
135 417 62 
522 549 523 
828 619 512 
375 998 17 
277 959 920 
900 754 219 
628 246 3 
42 396 704 
453 811 630 
175 368 386 
464 371 669 
0 690 345 
769 522 512 
592 132 190 
48 981 868 
876 399 329 
509 102 131 
720 53 52 
324 277 824 
496 911 27 
681 276 371 
213 896 263 
227 557 650 
126 88 540 
178 100 26 
670 735 479 
316 987 378 
700 188 779 
426 484 471 
413 734 905 
121 491 320 
277 576 653 
984 943 836 
624 920 228 
744 565 139 
562 1 808 
905 502 366 
89 174 506 
685 829 481 
500 397 661 
442 807 561 
489 885 283 
554 425 938 
148 177 690 
105 994 758 
75 445 898 
729 547 201 
791 674 77 
505 611 107 
422 264 939 
265 549 888 
818 461 111 
926 913 53 
364 127 384 
89 218 389 
11 319 976 
844 408 692 
104 120 612 
97 391 113 
13 30 737 
506 353 942 
495 517 933 
58 766 62 
910 310 805 
931 323 948 
97 538 851 
810 297 917 
553 269 255 
932 365 631 
657 157 454 
8 119 268 
628 490 57 
987 801 588 
874 865 892 
193 608 658 
83 532 93 
28 741 355 
475 838 881 
278 371 914 
59 921 618 
328 297 551 
131 224 518 
171 483 501 
390 799 77 
457 313 45 
194 711 934 
630 740 669 
439 176 213 
489 136 478 
928 427 989 
543 959 320 
501 255 775 
498 952 556 
298 990 261 
335 158 380 
399 656 672 
470 390 877 
694 605 103 
635 486 779 
835 937 80 
336 306 77 
65 376 6 
112 942 138 
787 915 230 
699 105 147 
499 973 862 
912 747 538 
63 560 321 
139 292 168 
765 868 462 
819 584 216 
91 342 423 
72 219 978 
481 827 165 
704 343 778 
597 550 93 
826 553 406 
639 192 870 
671 746 763 
328 278 820 
767 743 931 
761 659 563 
75 471 229 
622 75 912 
438 49 71 
459 890 490 
529 591 955 
925 847 552 
632 488 929 
95 469 99 
729 942 527 
264 561 905 
596 657 133 
166 757 367 
966 447 975 
225 621 844 
900 41 935 
435 12 965 
159 508 935 
175 863 635 
209 889 640 
918 291 270 
250 801 867 
61 160 569 
452 842 601 
368 709 11 
309 882 733 
99 36 215 
751 752 384 
849 733 899 
586 373 444 
412 64 810 
440 508 603 
320 48 1000 
0 366 890 
2 479 978 
871 901 234 
142 729 598 
764 982 804 
123 827 801 
575 223 87 
729 537 788 
968 9 634 
699 321 100 
774 747 829 
285 375 730 
871 422 270 
118 549 444 
990 740 285 
996 712 69 
184 575 973 
821 24 549 
233 624 403 
582 824 617 
682 573 131 
520 160 323 
656 918 809 
100 876 569 
737 427 31 
641 605 378 
164 347 522 
173 907 758 
198 985 496 
727 687 29 
207 442 972 
548 643 363 
30 628 742 
260 585 198 
167 617 169 
514 208 855 
840 943 295 
798 929 114 
916 223 501 
747 177 963 
793 11 490 
895 556 344 
570 507 881 
357 830 744 
170 908 241 
229 571 369 
775 777 292 
947 514 463 
773 368 264 
591 981 597 
722 936 88 
26 862 276 
775 562 588 
402 544 537 
824 302 115 
555 580 111 
674 106 23 
121 16 627 
515 65 912 
683 879 20 
665 927 478 
610 8 790 
683 275 998 
638 939 123 
942 821 482 
124 411 266 
217 560 257 
913 388 830 
594 5 715 
174 630 700 
378 520 112 
52 751 936 
407 749 607 
704 968 927 
579 708 149 
513 471 377 
830 792 532 
721 606 500 
928 659 401 
703 49 488 
845 948 647 
573 993 321 
702 455 730 
62 201 565 
83 24 836 
496 160 768 
545 460 624 
4 503 169 
159 546 960 
481 355 854 
565 430 894 
217 484 78 
844 443 252 
570 16 801 
766 383 42 
361 829 261 
108 963 525 
839 542 914 
190 0 452 
567 492 983 
333 790 786 
989 399 722 
845 355 196 
501 938 326 
285 989 845 
741 455 884 
4 968 18 
521 500 158 
947 994 281 
333 739 348 
426 456 416 
779 310 154 
291 151 906 
767 122 804 
919 884 28 
389 768 189 
401 275 100 
944 270 220 
968 851 847 
561 405 292 
163 299 768 
326 679 436 
995 264 374 
377 806 772 
598 759 17 
500 736 853 
15 222 220 
434 67 822 
416 219 182 
126 186 920 
584 186 558 
153 635 346 
556 472 258 
129 961 272 
240 138 72 
489 438 976 
751 74 571 
231 519 627 
905 96 773 
495 768 247 
922 554 756 
778 672 665 
784 771 77 
590 315 696 
248 917 929 
750 399 372 
841 552 932 
647 760 468 
930 770 990 
891 697 602 
808 461 337 
788 438 605 
892 41 840 
475 213 673 
440 287 574 
969 708 943 
848 39 173 
574 190 650 
971 658 298 
245 311 790 
478 820 132 
846 661 631 
293 257 434 
159 372 278 
991 778 654 
648 549 547 
129 181 161 
895 861 471 
527 398 2 
216 729 911 
904 11 709 
782 450 585 
245 601 789 
896 470 439 
645 250 861 
35 415 125 
419 815 482 
488 820 261 
908 64 831 
183 452 751 
971 599 110 
414 859 45 
794 166 494 
83 119 695 
727 551 898 
367 556 625 
25 736 690 
870 62 553 
964 239 110 
201 101 61 
466 306 662 
210 500 942 
732 204 455 
674 882 15 
45 177 305 
381 275 209 
210 931 602 
872 410 306 
923 362 592 
323 244 111 
577 710 858 
84 322 614 
821 894 324 
43 941 17 
867 600 261 
299 781 208 
747 438 161 
52 127 95 
39 922 980 
123 352 343 
400 158 129 
226 663 608 
325 99 646 
742 110 395 
407 905 914 
768 578 887 
0 896 903 
115 968 946 
805 356 922 
306 534 368 
531 290 594 
423 651 405 
217 305 919 
259 349 102 
607 660 865 
304 940 111 
275 243 826 
119 790 983 
391 919 649 
861 873 284 
964 327 807 
522 387 670 
262 561 998 
943 640 191 
504 94 679 
365 30 277 
906 112 31 
564 302 839 
332 955 766 
157 295 249 
154 735 638 
528 104 642 
535 703 404 
432 270 815 
175 915 96 
996 971 345 
810 984 593 
34 905 809 
376 289 511 
48 9 789 
907 590 988 
599 240 532 
812 43 78 
683 308 290 
794 95 202 
347 939 537 
267 93 492 
120 152 287 
214 572 427 
252 806 335 
607 737 274 
741 741 698 
44 244 288 
